Date Time VMFC
Date Time VMFC
Date Time VMFC
Date Time VMFC Temperature
2020-07-07 05:43:37 336.84 9.56
2020-07-07 05:48:38 336.84 9.37
2020-07-07 05:53:39 337.49 9.94
2020-07-07 05:58:40 338.73 8.8
2020-07-07 06:03:41 335.97 9.15
2020-07-07 06:08:41 337.71 9.55
2020-07-07 06:13:42 337.6 8.92
2020-07-07 06:18:43 338.14 9.55
2020-07-07 06:23:44 338.3 9.39
2020-07-07 06:28:44 337.0 8.96
2020-07-07 06:33:45 339.17 9.18
2020-07-07 06:38:46 336.84 9.19
2020-07-07 06:43:47 338.19 9.08
2020-07-07 06:48:48 335.86 8.71
2020-07-07 06:53:48 338.14 8.89
2020-07-07 06:58:49 338.41 8.76
2020-07-07 07:03:50 335.59 8.84
2020-07-07 07:08:51 338.68 9.28
2020-07-07 07:13:51 337.87 9.36
2020-07-07 07:18:52 334.29 8.95
2020-07-07 07:23:53 336.95 8.63
2020-07-07 07:28:54 335.32 8.67
2020-07-07 07:33:55 334.89 9.27
2020-07-07 07:38:55 335.7 8.55
2020-07-07 07:43:56 333.97 9.05
2020-07-07 07:48:57 334.94 9.04
2020-07-07 07:53:58 337.22 9.01
2020-07-07 07:58:58 337.43 9.18
2020-07-07 08:03:59 337.27 9.17
2020-07-07 08:09:00 334.19 9.1
2020-07-07 08:14:01 334.89 9.03
2020-07-07 08:19:02 334.24 8.74
2020-07-07 08:24:02 337.16 8.72
2020-07-07 08:29:03 334.13 9.01
2020-07-07 08:34:04 333.16 8.93
2020-07-07 08:39:05 338.14 8.83
2020-07-07 08:44:06 335.27 8.85
2020-07-07 08:49:06 336.73 9.05
2020-07-07 08:54:07 335.21 8.99
2020-07-07 08:59:08 335.0 8.87
2020-07-07 09:04:09 334.4 9.33
2020-07-07 09:09:09 337.54 8.68
2020-07-07 09:14:10 334.46 8.53
2020-07-07 09:19:11 335.32 9.16
2020-07-07 09:24:12 334.35 8.63
2020-07-07 09:29:13 334.35 8.38
2020-07-07 09:34:13 334.35 8.98
2020-07-07 09:39:14 335.38 8.78
2020-07-07 09:44:15 333.05 8.55
2020-07-07 09:49:16 335.27 9.26
2020-07-07 09:54:17 332.89 8.56
2020-07-07 09:59:17 334.29 8.85
2020-07-07 10:04:18 334.35 8.64
2020-07-07 10:09:19 334.56 8.47
2020-07-07 10:14:20 335.16 9.14
2020-07-07 10:19:20 333.43 8.66
