Date Time VMFC
Date Time VMFC
Date Time VMFC
2020-07-06 12:31:46 534.34 8.98
Date Time VMFC
Date Time VMFC
2020-07-07 05:33:15 553.73 9.2
2020-07-07 05:38:16 556.49 9.05
2020-07-07 05:43:16 563.1 9.4
2020-07-07 05:48:17 557.63 8.8
2020-07-07 05:53:18 584.22 8.74
2020-07-07 05:58:18 605.66 9.2
2020-07-07 06:03:19 545.5 9.2
2020-07-07 06:08:20 584.87 9.17
2020-07-07 06:13:20 550.21 9.59
2020-07-07 06:18:21 546.96 8.46
2020-07-07 06:23:22 560.12 9.38
2020-07-07 06:28:22 561.47 8.89
2020-07-07 06:33:23 542.68 8.66
2020-07-07 06:38:24 535.69 9.06
2020-07-07 06:43:25 536.56 9.67
2020-07-07 06:48:25 529.68 8.93
2020-07-07 06:53:26 592.23 8.78
2020-07-07 06:58:27 591.36 9.43
2020-07-07 07:03:27 537.7 8.9
2020-07-07 07:08:28 550.15 8.94
2020-07-07 07:13:29 529.09 8.84
2020-07-07 07:18:29 521.13 9.08
2020-07-07 07:23:30 589.96 9.45
2020-07-07 07:28:31 577.23 9.05
2020-07-07 07:33:31 517.66 9.13
2020-07-07 07:38:32 551.61 8.95
2020-07-07 07:43:33 558.44 9.53
2020-07-07 07:48:33 567.27 8.65
2020-07-07 07:53:34 544.14 9.09
2020-07-07 07:58:35 532.17 8.75
2020-07-07 08:03:35 537.32 8.86
2020-07-07 08:08:36 565.04 9.41
2020-07-07 08:13:37 541.27 8.99
2020-07-07 08:18:38 578.58 9.38
2020-07-07 08:23:38 531.74 8.68
2020-07-07 08:28:39 547.77 8.77
2020-07-07 08:33:40 578.04 8.75
2020-07-07 08:38:40 587.09 9.53
2020-07-07 08:43:41 587.41 8.82
2020-07-07 08:48:42 519.45 9.07
2020-07-07 08:53:42 607.83 8.94
2020-07-07 08:58:43 606.58 8.82
2020-07-07 09:03:44 531.2 8.56
2020-07-07 09:08:44 543.11 9.08
2020-07-07 09:13:45 566.83 8.53
2020-07-07 09:18:46 541.98 9.34
2020-07-07 09:23:46 574.36 8.55
2020-07-07 09:28:47 535.21 8.99
2020-07-07 09:33:48 561.74 8.77
2020-07-07 09:38:48 554.92 9.19
2020-07-07 09:43:49 581.99 9.06
2020-07-07 09:48:50 579.88 9.33
2020-07-07 09:53:50 577.83 8.28
2020-07-07 09:58:51 576.58 8.98
2020-07-07 10:03:52 546.04 8.96
2020-07-07 10:08:52 586.76 8.95
2020-07-07 10:13:53 529.9 8.36
2020-07-07 10:18:54 591.36 9.28
2020-07-07 10:23:54 591.91 9.48
2020-07-07 10:28:55 565.1 8.56
2020-07-07 10:33:56 550.69 9.0
2020-07-07 10:38:57 578.26 8.51
2020-07-07 10:43:57 562.17 8.4
2020-07-07 10:48:58 536.83 8.49
2020-07-07 10:53:59 528.54 8.78
2020-07-07 10:58:59 562.07 9.26
2020-07-07 11:04:00 510.57 8.76
2020-07-07 11:09:01 540.89 9.36
2020-07-07 11:14:01 528.06 8.99
2020-07-07 11:19:02 561.85 8.59
2020-07-07 11:24:03 527.46 9.29
2020-07-07 11:29:03 555.68 8.56
2020-07-07 11:34:04 546.36 9.08
2020-07-07 11:39:05 520.48 9.05
2020-07-07 11:44:05 563.37 8.51
2020-07-07 11:49:06 580.05 8.91
2020-07-07 11:54:07 553.51 9.22
2020-07-07 11:59:08 582.92 8.81
2020-07-07 12:04:08 580.53 8.98
2020-07-07 12:09:09 544.74 8.76
2020-07-07 12:14:10 568.19 9.01
2020-07-07 12:19:10 546.74 9.37
2020-07-07 12:24:11 534.66 8.64
2020-07-07 12:29:12 580.64 8.61
2020-07-07 12:34:12 542.95 9.03
2020-07-07 12:39:13 580.48 9.19
2020-07-07 12:44:14 561.47 9.1
2020-07-07 12:49:14 536.78 8.32
2020-07-07 12:54:15 572.41 8.87
2020-07-07 12:59:16 562.61 8.52
2020-07-07 13:04:16 526.81 8.55
2020-07-07 13:09:17 569.92 8.38
2020-07-07 13:14:18 583.46 8.47
2020-07-07 13:19:19 569.92 9.0
2020-07-07 13:24:19 557.63 8.37
2020-07-07 13:29:20 525.62 8.53
2020-07-07 13:34:21 548.8 8.25
2020-07-07 13:39:21 510.29 8.83
2020-07-07 13:44:22 548.64 8.93
2020-07-07 13:49:23 564.5 8.9
2020-07-07 13:54:23 551.24 9.11
2020-07-07 13:59:24 566.83 8.36
